*M004,Titanic,Rob,A0002,Jack
*M006,Jurassic World,Dave,A0003,Lewis
LM008,Cinderalla,Eli,A0004,James
LM010,Snow White,Gaurav,A0005,Logan
LM012,Vikramaditiya,Stephine,A0006,Daniel
LM014,Ugram,Sophia,A0007,Ryan
LM016,Jolly-Days,Zarina,A0008,Aaron
LM018,Kitchen,Mary,A0009,Oliver
LM020,Bandh,Ariana,A0010,Liam
LM022,Lockdown,Joe,A0011,Jamie
LM024,Amesha,Milli,A0012,Ethan
LM026,Nisha,Gian,A0013,Alexander
LM028,Googly,Bailey,A0014,Cameron
LM030,Armstrong,Brooklyn,A0015,Finlay
LM032,Spaceship,Mindy,A0016,Kyle
LM034,Journey,Kamri,A0017,Adam
LM036,Centre,Paisely,A0018,Harry
LM038,Earth,Romi,A0019,Matthew
LM040,Mother,Kapil,A0020,Callum
LM042,Yaatra,Sudha,A0021,Lucas
LM044,Anteem,Sudhakar,A0022,Nathan
LM046,Praramb,Raniji,A0023,Aiden
LM048,Chandragupta,Ashoka,A0024,Dylan
LM050,Dracula,Bram_Stoker,A0025,Charlie
LM052,Ottelo,Shakesphere,A0026,Connor
LM054,Pari,Anushka,A0027,Thomas
LM056,Speak,Laurie,A0028,Alfie
LM058,Cinder,Marissa,A0029,Joshua
LM060,Island,Aldous,A0030,William
LM062,Stormbringer,Micheal_Moorcook,A0031,Jayden
LM064,Dawn,Octavia.E.Butler,A0032,Andrew
LM066,Caraval,Stephanie_Garber,A0033,Kai
LM068,1984,George_Orwell,A0034,Max
LM070,Scarlet,Gaughen,A0035,Ben
LM072,Legend,Marie_Lu,A0036,Samuel
LM074,Insurgent,Veronica_Roth,A0037,Luke
LM076,Divergent,Veronica_Roth,A0038,Tyler
LM078,Graceling,Kristin_Cathore,A0039,Rory
LM080,Neverwhere,Neil_Gaiman,A0040,David
LM082,Nottingham,Nathan_Makaryk,A0041,Michael
LM084,Hardball,CD_Reiss,A0042,Riley
LM086,Mythos,Stephan_Fry,A0043,Noah
LM088,Mercy,Debra_Anastasia,A0044,Cole
LM090,Blindsided,Eden_Finley,A0045,Joseph
LM092,Raw,Belle_Aurora,A0046,John
LM094,Links,Lisa_Becker,A0047,Archie
LM096,Warcross,Marie_Lu,A0048,Jacob
LM098,Anglemaker,Nick,A0049,Fraser
LM100,Annabel,Kathleen-Winter,A0050,Rhys
LM102,Annihilialtion,Jeff,A0051,Ross
LM104,Ash,Malinda-Lo,A0052,Calum
LM106,Atonement,Ian-McEwan,A0053,Jay
LM108,Away,Amy-Bloom,A0054,Josh
LM110,Autumn,Ali-Smith,A0055,Euan
LM112,Battleborn,Clarie-Vaye,A0056,Mason
LM114,Beloved,Toni-Morrison,A0057,Owen
LM116,Binti,Nnedi,A0058,Sam
LM118,Bonsai,Ariana,A0059,Leo
LM120,Bruja,Joe,A0060,Robert
LM122,Calf,Andrea-Kliene,A0061,Scott
LM124,Celine,Gian,A0062,Leon
LM126,Christodara,Timothy,A0063,Robbie
LM128,Clockers,Richard-Price,A0064,Benjamin
LM130,Columbine,Dave-Cullen,A0065,Caleb
LM132,Confessions,Augustine,A0066,Oscar
LM134,Cryptonomicon,Catherynne,A0067,Harris
LM136,Damnificados,Romi,A0068,Murray
LM138,Dancer,Kapil,A0069,Sean
LM140,Deathless,Catherynne,A0070,Christopher
LM142,Dumpling,Julie-Murphy,A0071,Kieran
LM144,Duplex,Kathryn-Davis,A0072,Aidan
LM146,Edinburgh,Harris,A0073,Jake
LM148,Emma,Jane-Austen,A0074,Evan
LM150,Euphoria,Lily-King,A0075,Kayden
LM152,Fan,Davis,A0076,Arran
LM154,Fences,August-Wilson,A0077,Angus
LM156,Ficciones,Sarah,A0078,Brodie
LM158,Fingersmith,Sarah-Waters,A0079,Ewan
LM160,Flicker,Kate,A0080,Muhammad
LM162,Flygirl,Diana,A0081,Alex
LM164,Fobbit,David-Abrams,A0082,Declan
LM166,Freeman,Leonard-Pitts,A0083,Finn
LM168,George,Alex-Gino,A0084,Blair
LM170,Ghostwritten,Aryan,A0085,Ollie
LM172,Gilead,Robin,A0086,Reece
LM174,Gilgamesh,Joan-London,A0087,Corey
LM176,Glaciers,Alexis-Smith,A0088,Kian
LM178,Grace,Greenwood,A0089,Harrison
LM180,Guapa,Saleem-Haddad,A0090,Taylor
LM182,Hausfrau,Jill-Alexender,A0091,Kaiden
LM184,Hild,Nicola-Griffith,A0092,Kenzie
LM186,Himself,Jess-Kidd,A0093,Cody
LM188,Home,Harlan-Coben,A0094,Craig
LM190,Homegoing,Yaa-Gyasi,A0095,Mohammed
LM192,Inheritance,Malinda-Lo,A0096,Calvin
LM194,IQ,Joe-Ide,A0097,Mark
LM196,Island,Aldous,A0098,Jude
LM198,It,Stephan-King,A0099,Luca
LM200,Jamestown,Benjamin,A0100,Ciaran
LM202,Jubilee,Margaret-Walker,A0101,George
LM204,Kindred,Octavia.E.Butler,A0102,Zak
LM206,Kintu,Jennifer,A0103,Zac
LM208,LaRose,Louise-Erdrich,A0104,Charles
LM210,Lightless,Higgins,A0105,Gregor
LM212,Man,Steve,A0106,Hamish
LM214,Matterhorn,Karl-Marlantes,A0107,Isaac
LM216,Middlemarch,Geroge-Elliot,A0108,Harvey
LM218,Monster,Walter,A0109,Shay
LM220,Monsteress,Marjorie-Liu,A0110,Struan
LM222,Motherest,Kristen-Iskandrian,A0111,Lee
LM224,Mudbound,Hilliary-Jordan,A0112,Steven
LM226,Neuromancer,William-Gibson,A0113,Joe
LM228,Norwood,Charles-Portis,A0114,Lennon
LM230,Oreo,Fran-Ross,A0115,Patrick
LM232,Passing,Nella-Larsen,A0116,Jason
LM234,Priestdaddy,Patricia-Lockwood,A0117,Louis
LM236,Problems,Jade-Sharma,A0118,Olly
LM238,Prodigies,Anna,A0119,Bailey
LM240,Push,Sapphire,A0120,Marcus
LM242,Pym,Mat-Johnson,A0121,Peter
LM244,Pull,Sapphire,A0122,Sebastian
LM246,Replay,Ken-Grimwood,A0123,Gabriel
LM248,Room,Emma-Donoghue,A0124,Jackson
LM250,Scythe,Neal-Shusterman,A0125,Zack
LM252,Seraphia,Rachel-Hartman,A0126,Ashton
LM254,Sidewalks,Mitchell,A0127,Brandon
LM256,Silence,Endo-Shusaku,A0128,Reuben
LM258,Starfish,Akemi-Dawn,A0129,Theo
LM260,Stoner,John-Edward,A0130,Paul
LM262,Submergence,Jonanthan-Ledgard,A0131,Conor
LM264,Sweetgirl,Travis-Mulhauser,A0132,Hayden
LM266,Sweetland,Micheal-Crummey,A0133,Lachlan
LM268,Tampa,Alissa-Nutting,A0134,Ruaridh
LM270,Tinkers,Paul-Harding,A0135,Innes
LM272,Trainspotting,Irvine-Welsh,A0136,Stuart
LM274,Umami,Laia-Jufresa,A0137,Jordan
LM276,Unless,Carol-Shields,A0138,Sonny
LM278,Untwine,Edwidge_Danticat,A0139,Alan
LM280,Uprooted,Naomi-Novik,A0140,Blake
LM282,Vicious,Schwab,A0141,Zachary
LM284,Warlock,Oakley-Hall,A0142,Cooper
LM286,Wave,Sonali,A0143,Ellis
LM288,Windeye,Brian-Evenson,A0144,Caiden
LM290,Zazen,Vanessa,A0145,Fergus
LM292,Zeroville,Steve-Erickson,A0146,Jakub
LM294,Hamlet,Shakesphere,A0147,Zach
LM296,Macbeth,Shakesphere,A0148,Findlay
LM298,Night,Ellie-Wiesel,A0149,Alistair
LM300,Holes,Louis-Sachar,A0150,Elliot
LM302,Othello,Shakesphere,A0151,Harley
LM304,Uglies,Scott-Westerfield,A0152,Anthony
LM306,Rebecca,Daphne-du,A0153,Callan
